match_created_at,match_id,match_state,scenario,setting,rules,warband_name,warband_id,won,wyrdstone_gained,gold_gained,veteran_experience_pool,notes,hero_injuries,hero_deaths,henchmen_deaths,hired_sword_deaths,hero_exp_gained,henchmen_exp_gained,hired_sword_exp_gained,treasure_found,equipment_lost,warband_effects,hero_effects
2026-07-12T10:11:41Z,9f65218c-d0a3-4d50-9250-ec6280fd3cb8,completed,Hidden Treasure,Mordheim,,Cult of the Boundless Toll,76e5b1bb-1aae-48ce-89e2-3c1662c04e6c,false,3,0,10,,,,,,cool-meadow: 1 (Survived +1); icy-surf: 1 (Survived +1); falling-tree: 1 (Survived +1); twilight-morning: 1 (Survived +1); lingering-sea: 1 (Survived +1),group 3: 1 (Survived +1); group 1: 1 (Survived +1); group 2: 1 (Survived +1),,,,straggler: plus one exploration dice during next game (1 battle),
2026-07-12T10:11:41Z,9f65218c-d0a3-4d50-9250-ec6280fd3cb8,completed,Hidden Treasure,Mordheim,,The Ivory Conclave ,c7c2d970-56d6-45ce-8e0c-b999a15975bc,true,4,0,5,,,,,,"Aldren Voss : 2 (Survived +1, Won Battle +1); Edric Falk : 1 (Survived +1); Lucan Reiss: 1 (Survived +1); Gerhardt Kranz: 1 (Survived +1); Matthias Eber: 1 (Survived +1)",group 2: 1 (Survived +1); group 1: 1 (Survived +1),,Mordheim Map,,,
2026-07-12T11:00:11Z,823e810a-7664-44f4-80ee-fc80f75678a7,completed,Hidden Treasure,Mordheim,,Evards Quest,2cf674fc-6cf0-432a-b176-1ad4d2b077ba,false,3,0,3,,,,group 2: 1,,"cold-sunset: 3 (Treasure found +2, Survived +1); falling-sun: 1 (Survived +1); wild-brook: 1 (Survived +1); cold-breeze: 1 (Survived +1); morning-dust: 1 (Survived +1)",group 4: 1 (Survived +1); group 1: 1 (Survived +1); group 3: 1 (Survived +1),,,"falling-sun: Flail, Heavy Armour",,
2026-07-12T11:00:11Z,823e810a-7664-44f4-80ee-fc80f75678a7,completed,Hidden Treasure,Mordheim,,The Call of the Grave,ef04b37f-6471-4a89-a748-084db3071060,true,4,0,5,,,,group 1: 1,,"Kel'thuzad: 2 (Opposing warrior taken out of action +1, Survived +1); Nephanis: 2 (Survived +1, Winning +1); King Morlak Velmorn: 1 (Survived +1); Sir Jedran Falseborn: 1 (Survived +1)",,,,,,
2026-07-12T12:22:21Z,60092a05-bee2-4297-a677-ae8c45034f78,completed,Occupy,Mordheim,,The Ashen Covenant ,4076290a-6685-4530-842e-03ed51b19ed6,true,4,2,6,,,,group 2: 1,,"Lord Valeric Draeven: 3 (Kill +1, Survived +1, Win +1); Severin Kalt: 1 (Survived +1); Roth Hale: 1 (Survived +1); Lysa Vorn: 1 (Survived +1); Marek Thorne: 1 (Survived +1)",group 2: 1 (Survived +1),,,,,
2026-07-12T12:22:21Z,60092a05-bee2-4297-a677-ae8c45034f78,completed,Occupy,Mordheim,,Beastmen,7f382f49-dadb-4fb2-b317-f2a5da5ee089,false,2,0,12,,,,,,"white-dawn: 2 (Opposing warrior taken out of action +1, Survived +1); delicate-pine: 2 (Opposing warrior taken out of action +1, Survived +1); blue-mountain: 1 (Survived +1); shy-sound: 1 (Survived +1)",group 1: 1 (Survived +1); group 3: 1 (Survived +1); group 2: 1 (Survived +1); group 4: 1 (Survived +1); group 5: 1 (Survived +1),,,,,
2026-07-12T14:02:52Z,f191d35b-6962-4d71-88a6-ad6fd3723128,completed,Surprise Attack,Mordheim,,Thorgrim's Seekers,07bfb681-6002-406c-bac4-06cba857668e,false,4,0,9,,Bill: hardened,,group 1: 1,,Thorgrim Grimmson: 1 (Survived +1); Borri Burloksson: 1 (Survived +1); Ben: 1 (Survived +1); Bill: 1 (Survived +1),group 2: 1 (Survived +1),,,,,
2026-07-12T14:02:52Z,f191d35b-6962-4d71-88a6-ad6fd3723128,completed,Surprise Attack,Mordheim,,Witch hunters,238438cb-17bf-436a-862a-f53ee09bdbb3,true,4,0,8,,,,,,"wild-bush: 2 (Survived +1, Deed performed +1); silent-lake: 1 (Survived +1); floral-tree: 1 (Survived +1); sparkling-sun: 1 (Survived +1); restless-sun: 2 ( +1, Survived +1)",group 1: 1 (Survived +1); group 2: 1 (Survived +1); group 3: 1 (Survived +1),,,,,
2026-08-31T09:26:54Z,0407eec2-e159-4d97-9a6e-7787e5845e0f,completed,Wyrdstone Hunt,Mordheim,,The Ashen Covenant ,4076290a-6685-4530-842e-03ed51b19ed6,true,3,0,5,,,,,,"Marek Thorne: 1 (Survived +1); Lord Valeric Draeven: 3 (Opposing warrior taken out of action +1, Survived +1, Winner  +1); Severin Kalt: 1 (Survived +1); Roth Hale: 1 (Survived +1); Lysa Vorn: 1 (Survived +1)",group 2: 1 (Survived +1),,Light Armour,,,
2026-08-31T09:26:54Z,0407eec2-e159-4d97-9a6e-7787e5845e0f,completed,Wyrdstone Hunt,Mordheim,,Cult of the Boundless Toll,76e5b1bb-1aae-48ce-89e2-3c1662c04e6c,false,2,1,5,,Hans 'El: chest_wound,,,,"Ghret 'El: 1 (Survived +1); Artur: 1 (Survived +1); Hans 'El: 1 (Survived +1); Gvenifere: 2 (Opposing warrior taken out of action +1, Survived +1); Herr Linn: 1 (Survived +1)","group 2: 1 (Survived +1); group 3: 1 (Survived +1); group 1: 2 (Survived +1, Wyrdstone +1); group 4: 2 (Survived +1, Wyrdstone +1)",,,,,
